fund_code,fund_name,date,unit_nav,cumulative_nav,source_kind,source_url
SYN001,稳健成长合成基金,2026-01-05,1.0,1.0,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-06,1.003435,1.003435,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-07,1.007716,1.007716,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-08,1.012764,1.012764,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-09,1.01847,1.01847,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-12,1.024696,1.024696,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-13,1.03128,1.03128,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-14,1.038039,1.038039,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-15,1.044777,1.044777,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-16,1.051292,1.051292,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-19,1.057383,1.057383,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-20,1.062857,1.062857,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-21,1.067539,1.067539,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-22,1.07128,1.07128,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-23,1.073962,1.073962,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-26,1.075506,1.075506,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-27,1.075874,1.075874,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-28,1.075074,1.075074,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-29,1.073154,1.073154,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-01-30,1.070207,1.070207,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-02,1.06636,1.06636,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-03,1.061773,1.061773,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-04,1.056626,1.056626,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-05,1.051115,1.051115,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-06,1.045445,1.045445,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-09,1.039814,1.039814,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-10,1.034415,1.034415,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-11,1.02942,1.02942,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-12,1.024982,1.024982,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-13,1.021225,1.021225,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-16,1.018242,1.018242,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-17,1.016093,1.016093,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-18,1.014807,1.014807,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-19,1.014374,1.014374,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-20,1.014756,1.014756,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-23,1.01588,1.01588,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-24,1.017649,1.017649,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-25,1.019936,1.019936,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-26,1.022601,1.022601,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-02-27,1.025485,1.025485,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-02,1.028424,1.028424,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-03,1.031252,1.031252,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-04,1.03381,1.03381,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-05,1.035952,1.035952,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-06,1.037551,1.037551,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-09,1.03851,1.03851,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-10,1.038759,1.038759,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-11,1.038265,1.038265,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-12,1.037034,1.037034,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-13,1.035105,1.035105,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-16,1.032554,1.032554,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-17,1.029491,1.029491,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-18,1.02605,1.02605,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-19,1.022387,1.022387,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-20,1.018671,1.018671,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-23,1.01508,1.01508,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-24,1.011788,1.011788,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-25,1.008963,1.008963,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-26,1.00676,1.00676,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-27,1.005313,1.005313,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-30,1.004732,1.004732,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-03-31,1.0051,1.0051,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-01,1.006467,1.006467,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-02,1.008852,1.008852,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-03,1.01224,1.01224,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-06,1.016582,1.016582,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-07,1.021793,1.021793,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-08,1.027762,1.027762,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-09,1.034344,1.034344,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-10,1.041374,1.041374,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-13,1.048665,1.048665,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-14,1.056015,1.056015,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-15,1.063217,1.063217,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-16,1.070065,1.070065,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-17,1.076361,1.076361,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-20,1.081924,1.081924,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-21,1.0866,1.0866,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-22,1.090265,1.090265,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-23,1.092833,1.092833,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN001,稳健成长合成基金,2026-04-24,1.09426,1.09426,fully_synthetic,https://example.invalid/synthetic/SYN001
SYN002,科技创新合成基金,2026-01-05,1.04,1.04,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-06,1.045972,1.045972,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-07,1.052514,1.052514,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-08,1.059461,1.059461,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-09,1.066624,1.066624,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-12,1.073802,1.073802,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-13,1.080783,1.080783,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-14,1.08736,1.08736,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-15,1.093332,1.093332,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-16,1.098516,1.098516,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-19,1.102754,1.102754,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-20,1.105923,1.105923,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-21,1.107935,1.107935,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-22,1.108747,1.108747,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-23,1.108362,1.108362,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-26,1.106826,1.106826,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-27,1.104227,1.104227,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-28,1.100694,1.100694,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-29,1.096385,1.096385,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-01-30,1.091483,1.091483,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-02,1.086187,1.086187,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-03,1.080704,1.080704,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-04,1.075237,1.075237,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-05,1.069982,1.069982,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-06,1.065116,1.065116,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-09,1.060794,1.060794,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-10,1.057143,1.057143,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-11,1.054259,1.054259,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-12,1.052204,1.052204,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-13,1.051005,1.051005,fully_synthetic,https://example.invalid/synthetic/SYN002
SYN002,科技创新合成基金,2026-02-16,1.050654,1.050654,fully_synthetic,https://example.invalid/synthetic/SYN002
