doc_id,fund_code,fund_name,period,period_end,announcement_url,file_url,schema_version,page_count,sha256,access_status
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,https://example.invalid/synthetic/SYN001_2025Q3,,synthetic_v1,1,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3,synthetic
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,https://example.invalid/synthetic/SYN001_2025Q4,,synthetic_v1,1,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e,synthetic
SYN001_2026Q1,SYN001,稳健成长合成基金,2026Q1,2026-03-31,https://example.invalid/synthetic/SYN001_2026Q1,,synthetic_v1,1,7d644bbff9c37e3a9841b5b8fbe2f46a4ca9d3bfda529915edff53cc80b47f15,synthetic
SYN001_2026Q2,SYN001,稳健成长合成基金,2026Q2,2026-06-30,https://example.invalid/synthetic/SYN001_2026Q2,,synthetic_v1,1,8c2f39d0301644ce94a653c633d7d569d9102e388b04fbea4f35c94f4900e6ab,synthetic
SYN002_2025Q3,SYN002,科技创新合成基金,2025Q3,2025-09-30,https://example.invalid/synthetic/SYN002_2025Q3,,synthetic_v1,1,10a81fd16f8823d3a7876652265c7379c8a1bc10b4d2738c42eedcc0fa7d05b1,synthetic
SYN002_2025Q4,SYN002,科技创新合成基金,2025Q4,2025-12-31,https://example.invalid/synthetic/SYN002_2025Q4,,synthetic_v1,1,b5d80c51e29f655b121efd47fa2645ef14bfc81fb907b9d835e64342993f8b5b,synthetic
SYN002_2026Q1,SYN002,科技创新合成基金,2026Q1,2026-03-31,https://example.invalid/synthetic/SYN002_2026Q1,,synthetic_v1,1,bfdd6e4c42e7d1713c783ad6b6307d7acac0b244d8cdcf69fad7bbf28bf726dc,synthetic
SYN002_2026Q2,SYN002,科技创新合成基金,2026Q2,2026-06-30,https://example.invalid/synthetic/SYN002_2026Q2,,synthetic_v1,1,79c1d3752f2fddcf9972611b88b9bd081dbea618c8ebaeafc53078555ebb3e2b,synthetic
SYN003_2025Q3,SYN003,绿色转型合成基金,2025Q3,2025-09-30,https://example.invalid/synthetic/SYN003_2025Q3,,synthetic_v1,1,8307b7f90dd1665c9467a83456b9c8aa262611431e1bd770419ffd1271efca47,synthetic
SYN003_2025Q4,SYN003,绿色转型合成基金,2025Q4,2025-12-31,https://example.invalid/synthetic/SYN003_2025Q4,,synthetic_v1,1,7ccbc692afa767d2ef1246e01d0bdfdb26b1eca98f38d0d6bc2192a8b28b04ff,synthetic
SYN003_2026Q1,SYN003,绿色转型合成基金,2026Q1,2026-03-31,https://example.invalid/synthetic/SYN003_2026Q1,,synthetic_v1,1,b8935db7dd3e3aa633e215e729c58850aeadb40d937e758c981e330916cec1f1,synthetic
SYN003_2026Q2,SYN003,绿色转型合成基金,2026Q2,2026-06-30,https://example.invalid/synthetic/SYN003_2026Q2,,synthetic_v1,1,f8f38cd4fd36fc85895a83646f2feec0ad3c5e60944b0c36609b80abfa93943c,synthetic
