doc_id,fund_code,fund_name,period,period_end,schema_version,public_holding_rank,stock_code,stock_name,shares,fair_value_cny,nav_ratio_pct,source_page,announcement_url,file_url,source_pdf_sha256
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,1,S00001,合成股票01,1010000,10500000,5.2,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,2,S00002,合成股票02,1020000,11000000,4.6,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,3,S00003,合成股票03,1030000,11500000,4.1,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,4,S00004,合成股票04,1040000,12000000,3.8,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,5,S00005,合成股票05,1050000,12500000,3.5,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,6,S00006,合成股票06,1060000,13000000,3.2,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,7,S00007,合成股票07,1070000,13500000,2.9,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,8,S00008,合成股票08,1080000,14000000,2.6,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,9,S00009,合成股票09,1090000,14500000,2.3,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,10,S00010,合成股票10,1100000,15000000,2.0,2,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,1,S00002,合成股票02,1010000,10500000,5.23,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,2,S00003,合成股票03,1020000,11000000,4.63,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,3,S00004,合成股票04,1030000,11500000,4.13,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,4,S00005,合成股票05,1040000,12000000,3.83,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,5,S00006,合成股票06,1050000,12500000,3.53,2,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
